ITEM NAME,CATEGORY NAME,SKU,HSN,UNIT NAME,ALERT QTY,BRAND NAME,LOT NUMBER,PRICE BEFORE TAX,TAX NAME,TAX VALUE,TAX TYPE,SALES PRICE,OPENING STOCK,CUSTOM BARCODE,SELLER POINTS,ITEM DESCIPTION,DISCOUNT TYPE,DISCOUNT,MRP,editeur,verificateur,traducteur,auteur,couverture,nature_de_Papier,n_edition,ISBN,annee_edition,emplacement,collection,BL,FA,theme,image
LA COMTESSE DE SEGUR - T08 - LA COMTESSE DE SEGUR 08 NED - L'AUBERGE DE L'ANGE-GARDIEN,livres,,,PIECES,5,Brand 1,11,89.00,TVA,20,Inclusive,115.7,10,9782017179801,10,,Percentage,35,89.00, HACHETTE JEUN.,,, XXX |  SEGUR (NEE ROSTOPCHI,,,,,19/01/2022,,,,,JEUNESSE,uploads/items/23.jpg
LA COMTESSE DE SEGUR - T09 - LA COMTESSE DE SEGUR 09 NED - LE GENERAL DOURAKINE,livres,,,PIECES,5,Brand 1,11,89.00,TVA,20,Inclusive,115.7,10,9782017179931,10,,Percentage,35,89.00, HACHETTE JEUN.,,, SEGUR |  XXX,,,,,30/03/2022,,,,,JEUNESSE,uploads/items/24.jpg
LE CLAN DES SEPT 01 NED - LE CLAN DES SEPT,livres,,,PIECES,5,Brand 1,11,81.00,TVA,20,Inclusive,52.65,10,9782017132820,10,,Percentage,35,81.00, HACHETTE JEUN.,,, BLYTON ENID |  XXX,,,,,09/03/2022,,,,,JEUNESSE,uploads/items/25.jpg
LE CLAN DES SEPT 02 NED - UNE NOUVELLE ENQUETE,livres,,,PIECES,5,Brand 1,11,81.00,TVA,20,Inclusive,105.3,10,9782017180401,10,,Percentage,35,81.00, HACHETTE JEUN.,,, BLYTON ENID |  XXX,,,,,09/03/2022,,,,,JEUNESSE,uploads/items/1.jpg
"LE CLAN DES SEPT 03 NED - BIEN JOUE, LE CLAN DES SEPT",livres,,,PIECES,5,Brand 1,11,81.00,TVA,20,Inclusive,52.65,10,9782017180432,10,,Percentage,35,81.00, HACHETTE JEUN.,,, BLYTON ENID,,,,,08/06/2022,,,,,JEUNESSE,uploads/items/2.jpg
LE CLUB DES CINQ - T01 - LE CLUB DES CINQ 01 NED - LE CLUB DES CINQ ET LE TRESOR DE L'ILE,livres,,,PIECES,5,Brand 1,11,89.00,TVA,20,Inclusive,115.7,10,9782017072126,10,,Percentage,35,89.00, HACHETTE JEUN.,,, BLYTON ENID,,,,,27/02/2019,,,,,JEUNESSE,uploads/items/3.jpg
LE CLUB DES CINQ - T02 - LE CLUB DES CINQ 02 NED - LE CLUB DES CINQ ET LE PASSAGE SECRET,livres,,,PIECES,5,Brand 1,11,89.00,TVA,20,Inclusive,57.85,10,9782017072133,10,,Percentage,35,89.00, HACHETTE JEUN.,,, BLYTON ENID,,,,,27/02/2019,,,,,JEUNESSE,uploads/items/4.jpg
LE CLUB DES CINQ - T03 - LE CLUB DES CINQ 03 NED - LE CLUB DES CINQ CONTRE-ATTAQUE,livres,,,PIECES,5,Brand 1,11,89.00,TVA,20,Inclusive,57.85,10,9782017072140,10,,Percentage,35,89.00, HACHETTE JEUN.,,, BLYTON ENID |  XXX,,,,,27/02/2019,,,,,JEUNESSE,uploads/items/5.jpg
LE CLUB DES CINQ - T04 - LE CLUB DES CINQ 04 NED - LE CLUB DES CINQ EN VACANCES,livres,,,PIECES,5,Brand 1,11,89.00,TVA,20,Inclusive,57.85,10,9782017072157,10,,Percentage,35,89.00, HACHETTE JEUN.,,, BLYTON ENID,,,,,27/02/2019,,,,,JEUNESSE,uploads/items/6.jpg
LE CLUB DES CINQ - T05 - LE CLUB DES CINQ 05 NED - LE CLUB DES CINQ EN PERIL,livres,,,PIECES,5,Brand 1,11,89.00,TVA,20,Inclusive,57.85,10,9782017072171,10,,Percentage,35,89.00, HACHETTE JEUN.,,, BLYTON ENID,,,,,27/02/2019,,,,,JEUNESSE,uploads/items/7.jpg
LE CLUB DES CINQ - T06 - LE CLUB DES CINQ 06 NED - LE CLUB DES CINQ ET LE CIRQUE DE L'ETOILE,livres,,,PIECES,5,Brand 1,11,89.00,TVA,20,Inclusive,57.85,10,9782017072188,10,,Percentage,35,89.00, HACHETTE JEUN.,,, BLYTON ENID,,,,,27/02/2019,,,,,JEUNESSE,uploads/items/8.jpg
LE CLUB DES CINQ - T07 - LE CLUB DES CINQ 07 NED - LE CLUB DES CINQ EN RANDONNEE,livres,,,PIECES,5,Brand 1,11,89.00,TVA,20,Inclusive,57.85,10,9782017072195,10,,Percentage,35,89.00, HACHETTE JEUN.,,, BLYTON ENID,,,,,27/02/2019,,,,,JEUNESSE,uploads/items/9.jpg
LE CLUB DES CINQ - T08 - LE CLUB DES CINQ 08 NED - LE CLUB DES CINQ PRIS AU PIEGE,livres,,,PIECES,5,Brand 1,11,89.00,TVA,20,Inclusive,57.85,10,9782017072201,10,,Percentage,35,89.00, HACHETTE JEUN.,,, BLYTON ENID,,,,,27/02/2019,,,,,JEUNESSE,uploads/items/10.jpg
LE CLUB DES CINQ - T09 - LE CLUB DES CINQ 09 NED - LE CLUB DES CINQ AUX SPORTS D'HIVER,livres,,,PIECES,5,Brand 1,11,89.00,TVA,20,Inclusive,57.85,10,9782011183170,10,,Percentage,35,89.00, HACHETTE JEUN.,,, BLYTON ENID,,,,,27/02/2019,,,,,JEUNESSE,uploads/items/11.jpg
LE CLUB DES CINQ - T10 - LE CLUB DES CINQ 10 NED - LE CLUB DES CINQ VA CAMPER,livres,,,PIECES,5,Brand 1,11,89.00,TVA,20,Inclusive,57.85,10,9782011183187,10,,Percentage,35,89.00, HACHETTE JEUN.,,, BLYTON ENID,,,,,27/02/2019,,,,,JEUNESSE,uploads/items/12.jpg
LE CLUB DES CINQ - T11 - LE CLUB DES CINQ 11 NED - LE CLUB DES CINQ AU BORD DE LA MER,livres,,,PIECES,5,Brand 1,11,89.00,TVA,20,Inclusive,115.7,10,9782017090014,10,,Percentage,35,89.00, HACHETTE JEUN.,,, BLYTON ENID,,,,,12/06/2019,,,,,JEUNESSE,uploads/items/13.jpg
LE CLUB DES CINQ - T12 - LE CLUB DES CINQ 12 NED - LE CLUB DES CINQ ET LE CHATEAU DE MAUCLERC,livres,,,PIECES,5,Brand 1,11,89.00,TVA,20,Inclusive,57.85,10,9782017097754,10,,Percentage,35,89.00, HACHETTE JEUN.,,, BLYTON ENID,,,,,02/10/2019,,,,,JEUNESSE,uploads/items/14.jpg
LE CLUB DES CINQ - T13 - LE CLUB DES CINQ NED 13 - LE CLUB DES CINQ JOUE ET GAGNE,livres,,,PIECES,5,Brand 1,11,89.00,TVA,20,Inclusive,57.85,10,9782017105237,10,,Percentage,35,89.00, HACHETTE JEUN.,,, BLYTON ENID,,,,,27/11/2019,,,,,JEUNESSE,uploads/items/15.jpg
LE CLUB DES CINQ - T14 - LE CLUB DES CINQ 14 NED - LA LOCOMOTIVE DU CLUB DES CINQ,livres,,,PIECES,5,Brand 1,11,89.00,TVA,20,Inclusive,57.85,10,9782017120575,10,,Percentage,35,89.00, BB ROSE VERTE |  HACHETTE JEUN.,,, BLYTON ENID |  BLYTON - E,,,,,05/02/2020,,,,,JEUNESSE,uploads/items/16.jpg
LE CLUB DES CINQ - T15 - LE CLUB DES CINQ 15 NED - ENLEVEMENT AU CLUB DES CINQ,livres,,,PIECES,5,Brand 1,11,89.00,TVA,20,Inclusive,57.85,10,9782017873174,10,,Percentage,35,89.00, HACHETTE JEUN.,,, BLYTON ENID |  XXX,,,,,27/05/2020,,,,,JEUNESSE,uploads/items/17.jpg
LE CLUB DES CINQ - T16 - LE CLUB DES CINQ 16 NED - LE CLUB DES CINQ ET LA MAISON HANTEE,livres,,,PIECES,5,Brand 1,11,89.00,TVA,20,Inclusive,57.85,10,9782016288948,10,,Percentage,35,89.00, HACHETTE JEUN.,,, BLYTON ENID |  XXX,,,,,19/08/2020,,,,,JEUNESSE,uploads/items/18.jpg
LE CLUB DES CINQ - T18 - LE CLUB DES CINQ NED 18 - LE CLUB DES CINQ ET LE COFFRE AUX MERVEILLES,livres,,,PIECES,5,Brand 1,11,89.00,TVA,20,Inclusive,57.85,10,9782017131939,10,,Percentage,35,89.00, HACHETTE JEUN.,,, BLYTON ENID,,,,,09/12/2020,,,,,JEUNESSE,uploads/items/19.jpg
LE CLUB DES CINQ - T19 - LE CLUB DES CINQ 19 NED - LA BOUSSOLE DU CLUB DES CINQ,livres,,,PIECES,5,Brand 1,11,89.00,TVA,20,Inclusive,115.7,10,9782017131984,10,,Percentage,35,89.00, HACHETTE JEUN.,,, BLYTON ENID |  XXX,,,,,20/01/2021,,,,,JEUNESSE,uploads/items/20.jpg
LE CLUB DES CINQ - T20 - LE CLUB DES CINQ 20 NED - LE CLUB DES CINQ ET LE SECRET DU VIEUX PUITS,livres,,,PIECES,5,Brand 1,11,89.00,TVA,20,Inclusive,115.7,10,9782017131991,10,,Percentage,35,89.00, HACHETTE JEUN.,,, BLYTON ENID |  XXX,,,,,10/03/2021,,,,,JEUNESSE,uploads/items/21.jpg
LE CLUB DES CINQ - T21 - LE CLUB DES CINQ 21 NED - EN EMBUSCADE,livres,,,PIECES,5,Brand 1,11,89.00,TVA,20,Inclusive,115.7,10,9782017132080,10,,Percentage,35,89.00, HACHETTE JEUN.,,, BLYTON ENID,,,,,12/05/2021,,,,,JEUNESSE,uploads/items/22.jpg
LE CLUB DES CINQ - T23 - LES CINQ 23 NED - LES CINQ AU CAP DES TEMPETES,livres,,,PIECES,5,Brand 1,11,89.00,TVA,20,Inclusive,115.7,10,9782017169925,10,,Percentage,35,89.00, HACHETTE JEUN.,,, XXX |  BLYTON/AUREN |  VOILIER/AUREN,,,,,03/11/2021,,,,,JEUNESSE,uploads/items/23.jpg
LE CLUB DES CINQ - T24 - LES CINQ 24 - LES CINQ MENENT L'ENQUETE,livres,,,PIECES,5,Brand 1,11,89.00,TVA,20,Inclusive,115.7,10,9782017170013,10,,Percentage,35,89.00, HACHETTE JEUN.,,, VOILIER CLAUDE |  XXX,,,,,02/02/2022,,,,,JEUNESSE,uploads/items/24.jpg
LE CLUB DES CINQ - T25 - LES CINQ 25 NED - LES CINQ A LA TELEVISION,livres,,,PIECES,5,Brand 1,11,89.00,TVA,20,Inclusive,115.7,10,9782017170051,10,,Percentage,35,89.00, HACHETTE JEUN.,,, VOILIER CLAUDE |  XXX,,,,,13/04/2022,,,,,JEUNESSE,uploads/items/25.jpg
LE CLUB DES CINQ - T26 - LES CINQ 26 NED - LES CINQ ET LES PIRATES DU CIEL,livres,,,PIECES,5,Brand 1,11,82.00,TVA,20,Inclusive,53.3,10,9782017170136,10,,Percentage,35,82.00, HACHETTE JEUN.,,, VOILIER CLAUDE,,,,,29/06/2022,,,,,JEUNESSE,uploads/items/1.jpg
LE CLUB DES CINQ - T27 - LES CINQ 27 NED - LES CINQ CONTRE LE MASQUE NOIR,livres,,,PIECES,5,Brand 1,11,89.00,TVA,20,Inclusive,57.85,10,9782017170143,10,,Percentage,35,89.00, HACHETTE JEUN.,,, VOILIER/AUREN,,,,,21/09/2022,,,,,JEUNESSE,uploads/items/2.jpg
LE CLUB DES CINQ 17 NED - ET LES PAPILLONS,livres,,,PIECES,5,Brand 1,11,89.00,TVA,20,Inclusive,57.85,10,9782016289099,10,,Percentage,35,89.00, HACHETTE JEUN.,,, BLYTON ENID |  XXX,,,,,07/10/2020,,,,,JEUNESSE,uploads/items/3.jpg
LE CLUB DES CINQ JUNIOR - T02 - LE CLUB DES CINQ JUNIOR 02 - LE MYSTERE DE L'ILE,livres,,,PIECES,5,Brand 1,11,81.00,TVA,20,Inclusive,52.65,10,9782016255667,10,,Percentage,35,81.00, HACHETTE JEUN. |  BB ROSE VERTE,,, Claudia Malacrida  |  BLYTON-E |  BLYTON ENID |  XXX,,,,,31/05/2017,,,,,JEUNESSE,uploads/items/4.jpg
LE CLUB DES CINQ JUNIOR - T03 - LE CLUB DES CINQ JUNIOR 03 - UNE ETRANGE RENCONTRE,livres,,,PIECES,5,Brand 1,11,81.00,TVA,20,Inclusive,52.65,10,9782016265857,10,,Percentage,35,81.00, HACHETTE JEUN.,,, BLYTON ENID |  XXX,,,,,27/09/2017,,,,,JEUNESSE,uploads/items/5.jpg
"LE CLUB DES CINQ JUNIOR - T05 - LE CLUB DES CINQ JUNIOR 05 - BRAVO, LE CLUB DES CINQ !",livres,,,PIECES,5,Brand 1,11,81.00,TVA,20,Inclusive,52.65,10,9782017039884,10,,Percentage,35,81.00, HACHETTE JEUN.,,, BLYTON ENID |  XXX,,,,,07/03/2018,,,,,JEUNESSE,uploads/items/6.jpg
"LE CLUB DES CINQ JUNIOR - T06 - LE CLUB DES CINQ JUNIOR 06 - QUEL FLAIR, CE DAGOBERT !",livres,,,PIECES,5,Brand 1,11,81.00,TVA,20,Inclusive,52.65,10,9782017048497,10,,Percentage,35,81.00, HACHETTE JEUN.,,, BLYTON ENID |  XXX,,,,,30/05/2018,,,,,JEUNESSE,uploads/items/7.jpg
LE CLUB DES CINQ JUNIOR - T08 - LE CLUB DES CINQ JUNIOR 08 - ENQUETE SOUS LA NEIGE,livres,,,PIECES,5,Brand 1,11,81.00,TVA,20,Inclusive,52.65,10,9782017071679,10,,Percentage,35,81.00, HACHETTE JEUN.,,, BLYTON ENID,,,,,28/11/2018,,,,,JEUNESSE,uploads/items/8.jpg
LE CLUB DES CINQ JUNIOR - T09 - LE CLUB DES CINQ JUNIOR 09 - UN CADEAU MAUDIT,livres,,,PIECES,5,Brand 1,11,81.00,TVA,20,Inclusive,105.3,10,9782017111214,10,,Percentage,35,81.00, HACHETTE JEUN.,,, BLYTON ENID |  XXX,,,,,08/01/2020,,,,,JEUNESSE,uploads/items/9.jpg
LE CLUB DES CINQ JUNIOR - T10 - LE CLUB DES CINQ JUNIOR 10 - A LA RESCOUSSE,livres,,,PIECES,5,Brand 1,11,81.00,TVA,20,Inclusive,52.65,10,9782017873372,10,,Percentage,35,81.00, HACHETTE JEUN.,,, BLYTON ENID |  XXX,,,,,01/07/2020,,,,,JEUNESSE,uploads/items/10.jpg
LE CLUB DES CINQ JUNIOR - T11 - LE CLUB DES CINQ JUNIOR 11 - LE TRESOR DE DAGOBERT,livres,,,PIECES,5,Brand 1,11,89.00,TVA,20,Inclusive,57.85,10,9782017180449,10,,Percentage,35,89.00, HACHETTE JEUN.,,, BLYTON ENID |  XXX,,,,,27/04/2022,,,,,JEUNESSE,uploads/items/11.jpg
L'ECOLE DES LICORNES - T01 - L'ECOLE DES LICORNES 01 - SOPHIA ET RAINBOW,livres,,,PIECES,5,Brand 1,11,81.00,TVA,20,Inclusive,52.65,10,9782017072072,10,,Percentage,35,81.00, HACHETTE JEUN.,,, SYKES JULIE |  XXX,,,,,31/10/2018,,,,,JEUNESSE,uploads/items/12.jpg
L'ECOLE DES LICORNES - T11 - L'ECOLE DES LICORNES 11 - VIOLETTE ET ETINCELLE,livres,,,PIECES,5,Brand 1,11,81.00,TVA,20,Inclusive,52.65,10,9782017120766,10,,Percentage,35,81.00, HACHETTE JEUN.,,, XXX,,,,,23/09/2020,,,,,JEUNESSE,uploads/items/13.jpg
L'ECOLE DES LICORNES - T18 - L'ECOLE DES LICORNES 18 - EVIE ET SOLEIL,livres,,,PIECES,5,Brand 1,11,81.00,TVA,20,Inclusive,52.65,10,9782017162551,10,,Percentage,35,81.00, HACHETTE JEUN.,,, XXX,,,,,08/12/2021,,,,,JEUNESSE,uploads/items/14.jpg
L'ECOLE DES LICORNES - T19 - L'ECOLE DES LICORNES 19 - IVY ET TISON,livres,,,PIECES,5,Brand 1,11,81.00,TVA,20,Inclusive,52.65,10,9782017162599,10,,Percentage,35,81.00, HACHETTE JEUN.,,, XXX,,,,,09/03/2022,,,,,JEUNESSE,uploads/items/15.jpg
L'ETALON NOIR - T06 - L'ETALON NOIR 06 NED - LA REVOLTE DE L'ETALON NOIR,livres,,,PIECES,5,Brand 1,11,82.00,TVA,20,Inclusive,53.3,10,9782017169918,10,,Percentage,35,82.00, HACHETTE JEUN.,,, FARLEY WALTER |  XXX,,,,,09/03/2022,,,,,JEUNESSE,uploads/items/16.jpg
L'ETALON NOIR - T09 - L'ETALON NOIR 09 NED - LE SECRET DE L'ETALON NOIR,livres,,,PIECES,5,Brand 1,11,89.00,TVA,20,Inclusive,57.85,10,9782017203926,10,,Percentage,35,89.00, HACHETTE JEUN.,,, FARLEY WALTER,,,,,02/11/2022,,,,,JEUNESSE,uploads/items/17.jpg
LOL SURPRISE - T14 - L.O.L. SURPRISE ! 14 - COIFFURES SUR MESURE,livres,,,PIECES,5,Brand 1,11,81.00,TVA,20,Inclusive,52.65,10,9782017131182,10,,Percentage,35,81.00, HACHETTE JEUN.,,, XXX,,,,,14/04/2021,,,,,JEUNESSE,uploads/items/18.jpg
LOL SURPRISE - T16 - L.O.L. SURPRISE ! 16 - SUR LES CHAPEAUX DE ROUES !,livres,,,PIECES,5,Brand 1,11,81.00,TVA,20,Inclusive,52.65,10,9782017131328,10,,Percentage,35,81.00, HACHETTE JEUN.,,, XXX,,,,,07/07/2021,,,,,JEUNESSE,uploads/items/19.jpg
LOLIROCK - T01 - LOLIROCK 01 - LE POUVOIR DE L'AMITIE,livres,,,PIECES,5,Brand 1,11,81.00,TVA,20,Inclusive,52.65,10,9782012047693,10,,Percentage,35,81.00, BB ROSE VERTE |  HACHETTE JEUN.,,, Claudia Malacrida  |  MARATHON MEDIA |  XXX,,,,,01/04/2015,,,,,JEUNESSE,uploads/items/20.jpg
LOLIROCK - T02 - LOLIROCK 02 - LA MAGIE DE L'AMOUR,livres,,,PIECES,5,Brand 1,11,81.00,TVA,20,Inclusive,52.65,10,9782012047709,10,,Percentage,35,81.00, BB ROSE VERTE |  HACHETTE JEUN.,,, Claudia Malacrida  |  MARATHON MEDIA |  XXX,,,,,01/04/2015,,,,,JEUNESSE,uploads/items/21.jpg
LOLIROCK - T03 - LOLIROCK 03 - LE MEDAILLON D'IZIRA,livres,,,PIECES,5,Brand 1,11,81.00,TVA,20,Inclusive,52.65,10,9782012047716,10,,Percentage,35,81.00, BB ROSE VERTE |  HACHETTE JEUN.,,, Claudia Malacrida  |  MARATHON MEDIA |  XXX,,,,,02/09/2015,,,,,JEUNESSE,uploads/items/22.jpg
LOLIROCK - T04 - LOLIROCK 04 - MEMOIRE TROUBLE,livres,,,PIECES,5,Brand 1,11,81.00,TVA,20,Inclusive,52.65,10,9782011463128,10,,Percentage,35,81.00, BB ROSE VERTE |  HACHETTE JEUN.,,, Claudia Malacrida  |  MARATHON MEDIA |  XXX,,,,,02/12/2015,,,,,JEUNESSE,uploads/items/23.jpg
LOLIROCK - T05 - LOLIROCK 05 - LES PELUCHES ENSORCELEES,livres,,,PIECES,5,Brand 1,11,81.00,TVA,20,Inclusive,52.65,10,9782012318793,10,,Percentage,35,81.00, BB ROSE VERTE |  HACHETTE JEUN.,,, MARATHON MEDIA |  XXX,,,,,09/03/2016,,,,,JEUNESSE,uploads/items/24.jpg
LOLIROCK - T06 - LOLIROCK 06 - MUSIQUE MAGIQUE,livres,,,PIECES,5,Brand 1,11,81.00,TVA,20,Inclusive,52.65,10,9782012317109,10,,Percentage,35,81.00, BB ROSE VERTE |  HACHETTE JEUN.,,, MARATHON MEDIA |  XXX,,,,,15/06/2016,,,,,JEUNESSE,uploads/items/25.jpg
LOLIROCK - T08 - LOLIROCK 08 - UNE SURPRISE DECOIFFANTE,livres,,,PIECES,5,Brand 1,11,81.00,TVA,20,Inclusive,52.65,10,9782011801456,10,,Percentage,35,81.00, BB ROSE VERTE |  HACHETTE JEUN.,,, Claudia Malacrida  |  MARATHON MEDIA |  XXX,,,,,14/12/2016,,,,,JEUNESSE,uploads/items/1.jpg
LOLIROCK - T12 - LOLIROCK 12 - UNE SOIREE ENCHANTERESSE,livres,,,PIECES,5,Brand 1,11,81.00,TVA,20,Inclusive,52.65,10,9782016265895,10,,Percentage,35,81.00, BB ROSE VERTE |  HACHETTE JEUN.,,, MARATHON MEDIA |  XXX,,,,,28/06/2017,,,,,JEUNESSE,uploads/items/2.jpg
LOLIROCK - T14 - LOLIROCK 14 - UNE CROISIERE DE REVE,livres,,,PIECES,5,Brand 1,11,81.00,TVA,20,Inclusive,52.65,10,9782017034926,10,,Percentage,35,81.00, HACHETTE JEUN.,,, MARATHON MEDIA |  XXX,,,,,18/10/2017,,,,,JEUNESSE,uploads/items/3.jpg
LOLIROCK - T17 - LOLIROCK 17 - LES JUMEAUX MACHIAVELIQUES,livres,,,PIECES,5,Brand 1,11,81.00,TVA,20,Inclusive,52.65,10,9782017040262,10,,Percentage,35,81.00, HACHETTE JEUN.,,, MARATHON MEDIA |  XXX,,,,,09/05/2018,,,,,JEUNESSE,uploads/items/4.jpg
LOLIROCK - T18 - LOLIROCK 18 - UN MYSTERIEUX CADEAU,livres,,,PIECES,5,Brand 1,11,81.00,TVA,20,Inclusive,52.65,10,9782017048787,10,,Percentage,35,81.00, HACHETTE JEUN.,,, MARATHON MEDIA |  XXX,,,,,11/07/2018,,,,,JEUNESSE,uploads/items/5.jpg
LOLIROCK - T20 - LOLIROCK 20 - PRINCESSE MALEFIQUE,livres,,,PIECES,5,Brand 1,11,81.00,TVA,20,Inclusive,52.65,10,9782017071907,10,,Percentage,35,81.00, HACHETTE JEUN.,,, MARATHON MEDIA,,,,,14/11/2018,,,,,JEUNESSE,uploads/items/6.jpg
LOLIROCK - T22 - LOLIROCK 22 - UNE PRINCESSE DE POCHE,livres,,,PIECES,5,Brand 1,11,81.00,TVA,20,Inclusive,52.65,10,9782011183491,10,,Percentage,35,81.00, HACHETTE JEUN.,,, MARATHON MEDIA,,,,,15/05/2019,,,,,JEUNESSE,uploads/items/7.jpg
LOLIROCK - T25 - LOLIROCK 25 - UNE ALLIANCE INATTENDUE,livres,,,PIECES,5,Brand 1,11,81.00,TVA,20,Inclusive,52.65,10,9782017120582,10,,Percentage,35,81.00, HACHETTE JEUN.,,, MARATHON MEDIA,,,,,05/02/2020,,,,,JEUNESSE,uploads/items/8.jpg
LOLIROCK - T26 - LOLIROCK 26 - UN MESSAGE TROUBLANT,livres,,,PIECES,5,Brand 1,11,81.00,TVA,20,Inclusive,52.65,10,9782017873198,10,,Percentage,35,81.00, HACHETTE JEUN.,,, MARATHON MEDIA,,,,,24/06/2020,,,,,JEUNESSE,uploads/items/9.jpg
"LOLIROCK - T28 - LOLIROCK 28 - SILENCE, CA TOURNE !",livres,,,PIECES,5,Brand 1,11,81.00,TVA,20,Inclusive,52.65,10,9782017128106,10,,Percentage,35,81.00, HACHETTE JEUN.,,, MARATHON MEDIA,,,,,12/11/2020,,,,,JEUNESSE,uploads/items/10.jpg
LOLIROCK - T29 - LOLIROCK 29 - LE CHOIX DU COEUR,livres,,,PIECES,5,Brand 1,11,81.00,TVA,20,Inclusive,52.65,10,9782017128229,10,,Percentage,35,81.00, HACHETTE JEUN.,,, MARATHON MEDIA,,,,,17/02/2021,,,,,JEUNESSE,uploads/items/11.jpg
LOLIROCK - T30 - LOLIROCK 30 - LA CHASSE AU TRESOR,livres,,,PIECES,5,Brand 1,11,81.00,TVA,20,Inclusive,105.3,10,9782017145677,10,,Percentage,35,81.00, HACHETTE JEUN.,,, MARATHON MEDIA,,,,,12/05/2021,,,,,JEUNESSE,uploads/items/12.jpg
LOLIROCK - T31 - LOLIROCK 31 - UN SECRET DEVOILE,livres,,,PIECES,5,Brand 1,11,81.00,TVA,20,Inclusive,52.65,10,9782017162018,10,,Percentage,35,81.00, HACHETTE JEUN.,,, MARATHON MEDIA,,,,,11/08/2021,,,,,JEUNESSE,uploads/items/13.jpg
LOLIROCK - T32 - LOLIROCK 32 - L'APPRENTI MAGICIEN,livres,,,PIECES,5,Brand 1,11,81.00,TVA,20,Inclusive,52.65,10,9782017162148,10,,Percentage,35,81.00, HACHETTE JEUN.,,, MARATHON MEDIA,,,,,17/11/2021,,,,,JEUNESSE,uploads/items/14.jpg
LOLIROCK - T33 - LOLIROCK 33 - LA CUEILLETTE DE CRISTAL NOIR,livres,,,PIECES,5,Brand 1,11,81.00,TVA,20,Inclusive,105.3,10,9782017179818,10,,Percentage,35,81.00, HACHETTE JEUN.,,, MARATHON MEDIA,,,,,26/01/2022,,,,,JEUNESSE,uploads/items/15.jpg
LOLIROCK - T34 - LOLIROCK 34 - LE LOLI-SMOOTHIE,livres,,,PIECES,5,Brand 1,11,81.00,TVA,20,Inclusive,105.3,10,9782017179948,10,,Percentage,35,81.00, HACHETTE JEUN.,,, MARATHON MEDIA,,,,,04/05/2022,,,,,JEUNESSE,uploads/items/16.jpg
LOLIROCK - T35 - LOLIROCK 35 - LA DANSE MAUDITE,livres,,,PIECES,5,Brand 1,11,81.00,TVA,20,Inclusive,52.65,10,9782017201991,10,,Percentage,35,81.00, HACHETTE JEUN.,,, MARATHON MEDIA,,,,,24/08/2022,,,,,JEUNESSE,uploads/items/17.jpg
"MA VIE, MES COPINES - T22 - MA VIE, MES COPINES 22 - ULTRA POPULAIRE",livres,,,PIECES,5,Brand 1,11,81.00,TVA,20,Inclusive,52.65,10,9782017145684,10,,Percentage,35,81.00, HACHETTE JEUN.,,, KALENGULA/ALBIERO,,,,,19/05/2021,,,,,JEUNESSE,uploads/items/18.jpg
"MA VIE, MES COPINES - T23 - MA VIE, MES COPINES 23 - APPRENTIES STYLISTES",livres,,,PIECES,5,Brand 1,11,81.00,TVA,20,Inclusive,52.65,10,9782017162025,10,,Percentage,35,81.00, HACHETTE JEUN.,,, KALENGULA/ALBIERO,,,,,25/08/2021,,,,,JEUNESSE,uploads/items/19.jpg
MES AMIS LES CHEVAUX - SOPHIE THALMANN - T04 - MES AMIS LES CHEVAUX 04 - UN RIVAL INATTENDU,livres,,,PIECES,5,Brand 1,11,81.00,TVA,20,Inclusive,52.65,10,9782012044173,10,,Percentage,35,81.00, BB ROSE VERTE |  HACHETTE JEUN.,,, Claudia Malacrida  |  THALMANN SOPHIE |  XXX,,,,,12/03/2014,,,,,JEUNESSE,uploads/items/20.jpg
